symbol,data,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31
A,Net Interest Income,,-330467000.0,-350355000.0,-325025000.0,-300578000.0,
A,Interest Expense,,272875000.0,269493000.0,263997000.0,243475000.0,
A,Interest Income,,3924000.0,3146000.0,1825000.0,5235000.0,
A,Normalized Income,,212788580.0,-335922551.0,-15356523.02122,-328266601.222724,
A,Net Income From Continuing And Discontinued Operation,,194865060.0,-345562551.0,134272337.0,-374288056.0,
A,Total Expenses,,5106356276.0,3247302847.0,3018499677.0,2754796452.0,
A,Total Operating Income As Reported,,634504706.0,35896189.0,309162487.0,-106367705.0,
A,Diluted Average Shares,,980000000.0,980000000.0,980000000.0,980000000.0,
A,Basic Average Shares,,980000000.0,980000000.0,980000000.0,980000000.0,
A,Diluted EPS,,0.18,-0.37,0.12,-0.4,
A,Basic EPS,,0.18,-0.37,0.12,-0.4,
A,Diluted NI Availto Com Stockholders,,194865060.0,-362669000.0,121023000.0,-387488000.0,
A,Net Income Common Stockholders,,194865060.0,-362669000.0,121023000.0,-387488000.0,
A,Otherunder Preferred Stock Dividend,,,17106000.0,13249000.0,13200000.0,
A,Net Income,,194865060.0,-345562551.0,134272337.0,-374288056.0,
A,Minority Interests,,0.0,0.0,0.0,0.0,
A,Net Income Including Noncontrolling Interests,,194865060.0,-345562551.0,134272337.0,-374288056.0,
A,Net Income Continuous Operations,,194865060.0,-345562551.0,134272337.0,-374288056.0,
A,Tax Provision,,79968196.0,15907579.0,20379942.0,-37892989.0,
A,Pretax Income,,274833256.0,-329654972.0,154652279.0,-412181045.0,
A,Other Income Expense,,70917000.0,99883000.0,256792625.0,4083325.0,
A,Other Non Operating Income Expenses,,96197000.0,111933000.0,84453000.0,54764000.0,
A,Special Income Charges,,,,0.0,-50680675.0,
A,Gain On Sale Of Ppe,,,,0.0,-50680675.0,
A,Gain On Sale Of Security,-31770000.0,-25280000.0,-12050000.0,172339625.0,,
A,Net Non Operating Interest Income Expense,,-330467000.0,-350355000.0,-325025000.0,-300578000.0,
A,Total Other Finance Cost,,61516000.0,84008000.0,62853000.0,62338000.0,
A,Interest Expense Non Operating,,272875000.0,269493000.0,263997000.0,243475000.0,
A,Interest Income Non Operating,,3924000.0,3146000.0,1825000.0,5235000.0,
A,Operating Income,,534383266.0,-79183152.0,222884252.0,-115685748.0,
A,Operating Expense,,804984000.0,647428191.0,727768496.0,731847924.0,
A,Other Operating Expenses,6247000.0,5837000.0,2792000.0,,,
A,Other Taxes,113273000.0,189433000.0,105641000.0,,,
A,Depreciation Amortization Depletion Income Statement,45515000.0,46445000.0,38626000.0,,,
A,Depreciation And Amortization In Income Statement,45515000.0,46445000.0,38626000.0,,,
A,Selling General And Administration,,563269000.0,647428191.0,727768496.0,731847924.0,
A,Selling And Marketing Expense,,103925000.0,247867797.0,335147181.0,365773246.0,
A,General And Administrative Expense,,459344000.0,399560394.0,392621315.0,366074678.0,
A,Other Gand A,,191249000.0,399560394.0,392621315.0,366074678.0,
A,Salaries And Wages,316008000.0,268095000.0,256719000.0,,,
A,Gross Profit,,1339367266.0,568245039.0,950652748.0,616162176.0,
A,Cost Of Revenue,,4301372276.0,2599874656.0,2290731181.0,2022948528.0,
A,Total Revenue,,5640739542.0,3168119695.0,3241383929.0,2639110704.0,
A,Operating Revenue,,5640739542.0,3168119695.0,3241383929.0,2639110704.0,
A5,Tax Effect Of Unusual Items,,2147594.2709,23101591.1655,0.0,0.0,
A5,Tax Rate For Calcs,,0.1951,0.2195,0.2,0.1639,
A5,Normalized EBITDA,,88787565.0,86778091.0,109969938.0,630381116.0,
A5,Total Unusual Items,0.0,11007659.0,105246429.0,0.0,,
A5,Total Unusual Items Excluding Goodwill,0.0,11007659.0,105246429.0,0.0,,
A5,Net Income From Continuing Operation Net Minority Interest,,57239210.0,130692766.0,97787455.0,506433996.0,
A5,Reconciled Depreciation,,4741973.0,4042318.0,3561679.0,4077877.0,
A5,Reconciled Cost Of Revenue,,609410664.0,547308820.0,445871155.0,842653796.0,
A5,EBITDA,,99795224.0,192024520.0,109969938.0,630381116.0,
A5,EBIT,,95053251.0,187982202.0,106408259.0,626303239.0,
A5,Net Interest Income,,-20599764.0,-14108266.0,-13412935.0,-17984916.0,
A5,Interest Expense,,21517197.0,14168751.0,13817335.0,20568225.0,
A5,Interest Income,,917433.0,60485.0,404400.0,2583309.0,
A5,Normalized Income,,48379145.2709,48547928.1655,97787455.0,506433996.0,
A5,Net Income From Continuing And Discontinued Operation,,57239210.0,130692766.0,97787455.0,506433996.0,
A5,Total Expenses,,724236610.0,645072584.0,551151121.0,1005578882.0,
A5,Total Operating Income As Reported,,97190963.0,193525209.0,104465419.0,486350069.0,
A5,Diluted Average Shares,,1177907481.0,1209384615.0,1209384615.0,1209384615.0,
A5,Basic Average Shares,,1177907481.0,1209384615.0,1209384615.0,1209384615.0,
A5,Diluted EPS,,0.049,0.108,0.0809,0.4188,
A5,Basic EPS,,0.049,0.108,0.0809,0.4188,
A5,Diluted NI Availto Com Stockholders,,57239210.0,130692766.0,97787455.0,506433996.0,
A5,Net Income Common Stockholders,,57239210.0,130692766.0,97787455.0,506433996.0,
A5,Net Income,,57239210.0,130692766.0,97787455.0,506433996.0,
A5,Minority Interests,,-1951579.0,-4972967.0,-3616915.0,0.0,
A5,Net Income Including Noncontrolling Interests,,59190789.0,135665733.0,101404370.0,506433996.0,
A5,Net Income Continuous Operations,,59190789.0,135665733.0,101404370.0,506433996.0,
A5,Tax Provision,,14345265.0,38147718.0,-8813446.0,99301018.0,
A5,Pretax Income,,73536054.0,173813451.0,92590924.0,605735014.0,
A5,Other Income Expense,,7952514.0,99642937.0,7734822.0,140631686.0,
A5,Other Non Operating Income Expenses,2616070.0,5453025.0,,6196382.0,3261825.0,
A5,Special Income Charges,0.0,11007659.0,105246429.0,0.0,,
A5,Gain On Sale Of Ppe,0.0,11007659.0,105246429.0,0.0,,
A5,Gain On Sale Of Business,0.0,,,,,
A5,Earnings From Equity Interest,,-3055145.0,-5603492.0,1538440.0,137369861.0,
A5,Net Non Operating Interest Income Expense,,-20599764.0,-14108266.0,-13412935.0,-17984916.0,
A5,Interest Expense Non Operating,,21517197.0,14168751.0,13817335.0,20568225.0,
A5,Interest Income Non Operating,,917433.0,60485.0,404400.0,2583309.0,
A5,Operating Income,,86183304.0,88278780.0,98269037.0,483088244.0,
A5,Operating Expense,,114825946.0,97763764.0,105279966.0,162925086.0,
A5,Other Operating Expenses,,-5453025.0,-17278206.0,-8413523.0,-3777000.0,
A5,Selling General And Administration,,120278971.0,115041970.0,113693489.0,166702086.0,
A5,Selling And Marketing Expense,,61502734.0,63417081.0,59700063.0,93230608.0,
A5,General And Administrative Expense,,58776237.0,51624889.0,53993426.0,73471478.0,
A5,Other Gand A,,58776237.0,51624889.0,53993426.0,73471478.0,
A5,Gross Profit,,201009250.0,186042544.0,203549003.0,646013330.0,
A5,Cost Of Revenue,,609410664.0,547308820.0,445871155.0,842653796.0,
A5,Total Revenue,,810419914.0,733351364.0,649420158.0,1488667126.0,
A5,Operating Revenue,,810419914.0,733351364.0,649420158.0,1488667126.0,
AAI,Tax Effect Of Unusual Items,,2759113.658068,0.0,-5672461.293279,-1908637.882755,
AAI,Tax Rate For Calcs,,0.042891,0.108085,0.127753,0.034868,
AAI,Normalized EBITDA,,689346090.0,890792497.0,1239214904.0,674597406.0,
AAI,Total Unusual Items,34330000.0,64329000.0,,-44401668.0,-54738945.0,
AAI,Total Unusual Items Excluding Goodwill,34330000.0,64329000.0,,-44401668.0,-54738945.0,
AAI,Net Income From Continuing Operation Net Minority Interest,,599469402.0,652996789.0,859113887.0,382921280.0,
AAI,Reconciled Depreciation,,146563220.0,153591912.0,173627748.0,207574954.0,
AAI,Reconciled Cost Of Revenue,,3728541092.0,3931837475.0,5709149860.0,4719971383.0,
AAI,EBITDA,,753675090.0,890792497.0,1194813236.0,619858461.0,
AAI,EBIT,,607111870.0,737200585.0,1021185488.0,412283507.0,
AAI,Net Interest Income,,-3231780.0,-6715525.0,-32552130.0,15279032.0,
AAI,Interest Expense,,27012462.0,20752000.0,36241751.0,15528159.0,
AAI,Interest Income,,23780682.0,14036475.0,3689621.0,30807191.0,
AAI,Normalized Income,,537899515.658068,652996789.0,897843093.706721,435751587.117245,
AAI,Net Income From Continuing And Discontinued Operation,,599469402.0,652996789.0,859113887.0,382921280.0,
AAI,Total Expenses,,3990141114.0,4260469730.0,6062138914.0,5002478768.0,
AAI,Total Operating Income As Reported,,586274860.0,725020606.0,1016971109.0,382180777.0,
AAI,Diluted Average Shares,,170000000.0,170000000.0,1776849000.0,2125000000.0,
AAI,Basic Average Shares,,170000000.0,170000000.0,1776849000.0,2125000000.0,
AAI,Diluted EPS,,3.526291,3.841158,0.48,0.18,
AAI,Basic EPS,,3.526291,3.841158,0.48,0.18,
AAI,Diluted NI Availto Com Stockholders,,599469402.0,652996789.0,859113887.0,382921280.0,
AAI,Net Income Common Stockholders,,599469402.0,652996789.0,859113887.0,382921280.0,
AAI,Net Income,,599469402.0,652996789.0,859113887.0,382921280.0,
AAI,Minority Interests,,44250844.0,13985433.0,0.0,,
AAI,Net Income Including Noncontrolling Interests,,555218558.0,639011356.0,859113887.0,382921280.0,
AAI,Net Income Continuous Operations,,555218558.0,639011356.0,859113887.0,382921280.0,
AAI,Tax Provision,,24880850.0,77437229.0,125829850.0,13834068.0,
AAI,Pretax Income,,580099408.0,716448585.0,984943737.0,396755348.0,
AAI,Other Income Expense,,61385328.0,-1856699.0,-43876910.0,-55443406.0,
AAI,Other Non Operating Income Expenses,13755000.0,19784000.0,16304000.0,22773000.0,,
AAI,Earnings From Equity Interest,,-2943672.0,-1856699.0,524758.0,-704461.0,
AAI,Gain On Sale Of Security,34330000.0,64329000.0,,-44401668.0,-54738945.0,
AAI,Net Non Operating Interest Income Expense,,-3231780.0,-6715525.0,-32552130.0,15279032.0,
AAI,Interest Expense Non Operating,,27012462.0,20752000.0,36241751.0,15528159.0,
AAI,Interest Income Non Operating,,23780682.0,14036475.0,3689621.0,30807191.0,
AAI,Operating Income,,521945412.0,725020694.0,1061373073.0,436919386.0,
AAI,Operating Expense,,261600022.0,328632255.0,352989054.0,282507385.0,
AAI,Other Operating Expenses,,-52037000.0,-50942000.0,-71864000.0,-53784000.0,
AAI,Selling General And Administration,,313637022.0,379574255.0,424853054.0,336291385.0,
AAI,Selling And Marketing Expense,,134193026.0,182065510.0,230457498.0,169946601.0,
AAI,General And Administrative Expense,,179443996.0,197508745.0,194395556.0,166344784.0,
AAI,Other Gand A,,179443996.0,197508745.0,194395556.0,166344784.0,
AAI,Gross Profit,,783545434.0,1053652949.0,1414362127.0,719426771.0,
AAI,Cost Of Revenue,,3728541092.0,3931837475.0,5709149860.0,4719971383.0,
AAI,Total Revenue,,4512086526.0,4985490424.0,7123511987.0,5439398154.0,
AAI,Operating Revenue,,4512086526.0,4985490424.0,7123511987.0,5439398154.0,
AAV,Tax Effect Of Unusual Items,,30019717.559173,-420257227.414469,-249079260.204603,85832151.504046,
AAV,Tax Rate For Calcs,,0.070761,0.127094,0.22985,0.115499,
AAV,Normalized EBITDA,,-1793117267.0,-3224686000.0,-1354438000.0,6939942000.0,
AAV,Total Unusual Items,,424243132.0,-3306656000.0,-1083661000.0,743143000.0,
AAV,Total Unusual Items Excluding Goodwill,,424243132.0,-3306656000.0,-1083661000.0,743143000.0,
AAV,Net Income From Continuing Operation Net Minority Interest,,-4764092099.0,-6647484000.0,-8029997000.0,465819000.0,
AAV,Reconciled Depreciation,,6355024847.0,5434314000.0,6114053000.0,4992375000.0,
AAV,Reconciled Cost Of Revenue,,20484162770.0,11223275000.0,23533471000.0,36811642000.0,
AAV,EBITDA,,-1368874135.0,-6531342000.0,-2438099000.0,7683085000.0,
AAV,EBIT,,-7723898982.0,-11965656000.0,-8552152000.0,2690710000.0,
AAV,Net Interest Income,,-1776163139.0,-1848416000.0,-2190313000.0,-2258356000.0,
AAV,Interest Expense,,1603007622.0,1733358000.0,2113770000.0,2164064000.0,
AAV,Interest Income,,23618808.0,50397000.0,29186000.0,32871000.0,
AAV,Normalized Income,,-5158315513.440827,-3761085227.414469,-7195415260.204603,-191491848.495954,
AAV,Net Income From Continuing And Discontinued Operation,,-4764092099.0,-6647484000.0,-8029997000.0,465819000.0,
AAV,Total Expenses,,22334929944.0,12660986000.0,25259792000.0,40165134000.0,
AAV,Total Operating Income As Reported,,-7550743465.0,-11850598000.0,-8475609000.0,2785002000.0,
AAV,Diluted Average Shares,,4850000000.0,5119513000.0,11602838000.0,12290626000.0,
AAV,Basic Average Shares,,4850000000.0,5119513000.0,11602838000.0,12290626000.0,
AAV,Diluted EPS,,-0.9823,-1.2985,-0.6921,0.0379,
AAV,Basic EPS,,-0.9823,-1.2985,-0.6921,0.0379,
AAV,Diluted NI Availto Com Stockholders,,-4764092099.0,-6647484000.0,-8029997000.0,465819000.0,
AAV,Net Income Common Stockholders,,-4764092099.0,-6647484000.0,-8029997000.0,465819000.0,
AAV,Net Income,,-4764092099.0,-6647484000.0,-8029997000.0,465819000.0,
AAV,Minority Interests,,3902836580.0,5310463000.0,184365000.0,0.0,
AAV,Net Income Including Noncontrolling Interests,,-8666928679.0,-11957947000.0,-8214362000.0,465819000.0,
AAV,Net Income Continuous Operations,,-8666928679.0,-11957947000.0,-8214362000.0,465819000.0,
AAV,Tax Provision,,-659977925.0,-1741067000.0,-2451560000.0,60827000.0,
AAV,Pretax Income,,-9326906604.0,-13699014000.0,-10665922000.0,526646000.0,
AAV,Other Income Expense,,1150318360.0,-3018081000.0,-769104000.0,1708676000.0,
AAV,Other Non Operating Income Expenses,,726075228.0,288575000.0,314557000.0,965533000.0,
AAV,Special Income Charges,,-84200587.0,-43459000.0,376327000.0,0.0,
AAV,Gain On Sale Of Ppe,,1331760870.0,-43459000.0,376327000.0,0.0,
AAV,Impairment Of Capital Assets,,1415961457.0,,,,
AAV,Gain On Sale Of Security,,508443719.0,-3263197000.0,-1459988000.0,743143000.0,
AAV,Net Non Operating Interest Income Expense,,-1776163139.0,-1848416000.0,-2190313000.0,-2258356000.0,
AAV,Total Other Finance Cost,,196774325.0,165455000.0,105729000.0,127163000.0,
AAV,Interest Expense Non Operating,,1603007622.0,1733358000.0,2113770000.0,2164064000.0,
AAV,Interest Income Non Operating,,23618808.0,50397000.0,29186000.0,32871000.0,
AAV,Operating Income,,-8701061825.0,-8832517000.0,-7706505000.0,1076326000.0,
AAV,Operating Expense,,1850767174.0,1437711000.0,1726321000.0,3353492000.0,
AAV,Provision For Doubtful Accounts,,185403987.0,202144000.0,15289000.0,386974000.0,
AAV,Selling General And Administration,,1665363187.0,1235567000.0,1711032000.0,2966518000.0,
AAV,Selling And Marketing Expense,,797203450.0,240087000.0,678426000.0,1932821000.0,
AAV,General And Administrative Expense,,868159737.0,995480000.0,1032606000.0,1033697000.0,
AAV,Other Gand A,,868159737.0,995480000.0,1032606000.0,1033697000.0,
AAV,Gross Profit,,-6850294651.0,-7394806000.0,-5980184000.0,4429818000.0,
AAV,Cost Of Revenue,,20484162770.0,11223275000.0,23533471000.0,36811642000.0,
